,genotype,fitness,mapping_values,tree_depth,original_phenotype,phenotype,other_info
34,"[[0], [1, 3, 2, 0, 3, 3], [1, 4], [0, 3], [1, 1, 1], [3, 1, 4]]",1.0303330115699008,"[1, 6, 2, 1, 3, 3]",7,(x[3]-sin(x[1]**x[4])),(x[3]-sin(x[1]**x[4])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
35,"[[0], [1, 3, 2, 0, 3, 3], [1, 3], [0, 3], [1, 1, 0], [3, 1]]",1.032057301285538,"[1, 6, 2, 1, 3, 2]",7,(x[3]-sin(x[1]|_div_|x[0])),(x[3]-sin(x[1]|_div_|x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
36,"[[0], [1, 3, 2, 0, 3, 3], [1, 3], [0, 3], [1, 1, 0], [3, 1]]",1.032057301285538,"[1, 6, 2, 1, 3, 2]",7,(x[3]-sin(x[1]|_div_|x[0])),(x[3]-sin(x[1]|_div_|x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
37,"[[0], [1, 3, 2, 0, 3, 3], [1, 3], [0], [1, 1, 0], [3, 1]]",1.032057301285538,"[1, 6, 2, 1, 3, 2]",7,(x[3]-sin(x[1]|_div_|x[0])),(x[3]-sin(x[1]|_div_|x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
38,"[[0], [1, 3, 2, 0, 3, 3], [1, 3], [0], [1, 1, 0], [3, 1]]",1.032057301285538,"[1, 6, 2, 1, 3, 2]",7,(x[3]-sin(x[1]|_div_|x[0])),(x[3]-sin(x[1]|_div_|x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
39,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [], [1, 2, 0, 1, 2, 0, 0], [3, 5]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,x[3]-Constant,x[3]-0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
40,"[[0], [1, 3, 3], [1], [], [1, 2, 2, 2, 2, 1, 2, 2, 2], [3, 1]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,(x[3]-Constant),(x[3]-0.5942250656041724),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
41,"[[0], [0, 3, 3], [1], [], [1, 2, 2, 1, 2, 0, 0], [3, 1]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,x[3]-Constant,x[3]-0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
42,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [], [1, 2, 2, 1, 2, 0, 0], [3, 1]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,x[3]-Constant,x[3]-0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
43,"[[0], [1, 3, 3], [1], [], [1, 2, 2, 2, 2, 1, 2, 2, 2], [3, 5, 1]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,(x[3]-Constant),(x[3]-0.5942250656041724),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
44,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [], [1, 2, 0, 1, 2, 0, 0], [3, 5]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,x[3]-Constant,x[3]-0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
45,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [], [1, 2], [3]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,x[3]-Constant,x[3]-0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
46,"[[0], [0, 3, 3], [1], [], [1, 2, 2, 1, 2, 0, 0], [3, 1]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,x[3]-Constant,x[3]-0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
47,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [3, 3], [1, 2, 0, 1, 2, 0, 0], [3, 5]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,x[3]-Constant,x[3]-0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
48,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [], [1, 2, 0, 1, 2, 0, 0], [3, 1]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,x[3]-Constant,x[3]-0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
49,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [], [1, 2, 0, 1, 2, 0, 0], [3, 1]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,x[3]-Constant,x[3]-0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
50,"[[0], [1, 3, 3], [1], [], [1, 2], [3, 1]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,(x[3]-Constant),(x[3]-0.5942250656041724),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
51,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [], [1, 2, 0, 1, 2, 0, 0], [3, 1]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,x[3]-Constant,x[3]-0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
52,"[[0], [0, 3, 3], [1], [], [1, 2, 2, 1, 2, 0, 0], [3, 1]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,x[3]-Constant,x[3]-0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
53,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [], [1, 2], [3]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,x[3]-Constant,x[3]-0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
54,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [3, 3], [1, 2, 0, 1, 2, 0, 0], [3, 5]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,x[3]-Constant,x[3]-0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
55,"[[0], [0, 3, 3], [1], [], [1, 2, 2, 1, 2, 0, 0], [3, 1]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,x[3]-Constant,x[3]-0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
56,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [], [1, 2, 0, 1, 2, 0, 0], [3, 1]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,x[3]-Constant,x[3]-0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
57,"[[0], [1, 3, 3], [1], [], [1, 2], [3]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,(x[3]-Constant),(x[3]-0.5942250656041724),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
58,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [0, 3], [1, 2, 0, 1, 2, 0, 0], [3, 5]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,x[3]-Constant,x[3]-0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
59,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [3, 3], [1, 2, 0, 1, 2, 0, 0], [3, 5]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,x[3]-Constant,x[3]-0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
60,"[[0], [1, 3, 3], [1], [], [1, 2, 0, 1, 2, 0, 0], [3, 1]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,(x[3]-Constant),(x[3]-0.5942250656041724),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
61,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [3, 3], [1, 2, 0, 1, 2, 0, 0], [3, 5]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,x[3]-Constant,x[3]-0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
62,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [], [1, 2], [3, 1]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,x[3]-Constant,x[3]-0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
63,"[[0], [1, 3, 3], [1], [], [1, 2, 0, 1, 2, 0, 0], [3, 5, 1]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,(x[3]-Constant),(x[3]-0.5942250656041724),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
64,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [], [1, 2, 2, 1, 2, 0, 0], [3, 5]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,x[3]-Constant,x[3]-0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
65,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [], [1, 2], [3, 5]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,x[3]-Constant,x[3]-0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
66,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [0, 3], [1, 2, 0, 1, 2, 0, 0], [3, 5, 1]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,x[3]-Constant,x[3]-0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
67,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [], [1, 2, 0, 1, 2, 0, 0], [3, 1]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,x[3]-Constant,x[3]-0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
68,"[[0], [0, 3, 3], [1], [], [1, 2, 2, 1, 2, 0, 0], [3, 1]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,x[3]-Constant,x[3]-0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
69,"[[0], [1, 3, 3], [1], [], [1, 2, 2, 2, 2, 1, 2, 2, 2], [3, 1]]",1.043205830560635,"[1, 3, 1, 0, 2, 1]",5,(x[3]-Constant),(x[3]-0.5942250656041724),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
70,"[[0], [1, 3, 2, 0, 3, 3], [1, 3], [0, 3], [1, 1, 0], [3, 5]]",1.0456991570974372,"[1, 6, 2, 1, 3, 2]",7,(x[3]-sin(x[5]|_div_|x[0])),(x[3]-sin(x[5]|_div_|x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
71,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [0, 3], [1, 1, 0, 1, 2, 0, 0], [3, 5, 1]]",1.0478612722829197,"[1, 3, 1, 0, 2, 2]",5,x[3]-x[5],x[3]-x[5],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
72,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [0, 3], [1, 1, 0, 1, 2, 0, 0], [3, 5, 1]]",1.0478612722829197,"[1, 3, 1, 0, 2, 2]",5,x[3]-x[5],x[3]-x[5],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
73,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [3, 3], [1, 1, 0, 1, 2, 0, 0], [3, 5, 1]]",1.0478612722829197,"[1, 3, 1, 0, 2, 2]",5,x[3]-x[5],x[3]-x[5],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
74,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [0, 3], [1, 1, 0, 1, 2, 0, 0], [3, 5, 1]]",1.0478612722829197,"[1, 3, 1, 0, 2, 2]",5,x[3]-x[5],x[3]-x[5],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
75,"[[0], [1, 3, 3], [1], [], [1, 1], [3, 5]]",1.0478612722829197,"[1, 3, 1, 0, 2, 2]",5,(x[3]-x[5]),(x[3]-x[5]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
76,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [], [1, 1, 0, 1, 2, 0, 0], [3, 5]]",1.0478612722829197,"[1, 3, 1, 0, 2, 2]",5,x[3]-x[5],x[3]-x[5],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
77,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [], [1, 1, 0, 1, 2, 0, 0], [3, 5, 1]]",1.0478612722829197,"[1, 3, 1, 0, 2, 2]",5,x[3]-x[5],x[3]-x[5],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
78,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [], [1, 1], [3, 5]]",1.0478612722829197,"[1, 3, 1, 0, 2, 2]",5,x[3]-x[5],x[3]-x[5],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
79,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [], [1, 1, 0, 1, 2, 0, 0], [3, 5, 1]]",1.0478612722829197,"[1, 3, 1, 0, 2, 2]",5,x[3]-x[5],x[3]-x[5],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
80,"[[0], [1, 3, 3], [1], [0, 3], [1, 1, 0, 1, 2, 0, 0], [3, 5, 1]]",1.0478612722829197,"[1, 3, 1, 0, 2, 2]",5,(x[3]-x[5]),(x[3]-x[5]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
81,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [], [1, 1, 0, 1, 2, 0, 0], [3, 5, 1]]",1.0478612722829197,"[1, 3, 1, 0, 2, 2]",5,x[3]-x[5],x[3]-x[5],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
82,"[[0], [0, 3, 3], [1], [], [1, 1], [3, 5]]",1.0478612722829197,"[1, 3, 1, 0, 2, 2]",5,x[3]-x[5],x[3]-x[5],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
83,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [0, 3], [1, 1, 0, 1, 2, 0, 0], [3, 5, 1]]",1.0478612722829197,"[1, 3, 1, 0, 2, 2]",5,x[3]-x[5],x[3]-x[5],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
84,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [0, 3], [1, 1], [3, 5, 1]]",1.0478612722829197,"[1, 3, 1, 0, 2, 2]",5,x[3]-x[5],x[3]-x[5],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
85,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [], [1, 1], [3, 5]]",1.0478612722829197,"[1, 3, 1, 0, 2, 2]",5,x[3]-x[5],x[3]-x[5],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
86,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [], [1, 1, 0, 1, 2, 0, 0], [3, 5, 1]]",1.0478612722829197,"[1, 3, 1, 0, 2, 2]",5,x[3]-x[5],x[3]-x[5],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
87,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [], [1, 1, 0, 1, 2, 0, 0], [3, 5, 1]]",1.0478612722829197,"[1, 3, 1, 0, 2, 2]",5,x[3]-x[5],x[3]-x[5],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
88,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [], [1, 1, 0, 1, 2, 0, 0], [3, 5]]",1.0478612722829197,"[1, 3, 1, 0, 2, 2]",5,x[3]-x[5],x[3]-x[5],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
89,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [0, 3], [1, 1, 0, 1, 2, 0, 0], [3, 5, 1]]",1.0478612722829197,"[1, 3, 1, 0, 2, 2]",5,x[3]-x[5],x[3]-x[5],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
90,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [], [1, 1, 0, 1, 2, 0, 0], [3, 5, 1]]",1.0478612722829197,"[1, 3, 1, 0, 2, 2]",5,x[3]-x[5],x[3]-x[5],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
91,"[[0], [1, 3, 3], [1], [], [1, 1], [3, 5]]",1.0478612722829197,"[1, 3, 1, 0, 2, 2]",5,(x[3]-x[5]),(x[3]-x[5]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
92,"[[0], [1, 3, 3], [1], [], [1, 1, 2, 0, 0], [3, 5]]",1.0478612722829197,"[1, 3, 1, 0, 2, 2]",5,(x[3]-x[5]),(x[3]-x[5]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
93,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [], [1, 1, 2, 0, 0], [3, 5, 1]]",1.0478612722829197,"[1, 3, 1, 0, 2, 2]",5,x[3]-x[5],x[3]-x[5],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
94,"[[0], [0, 3, 3, 3, 2, 1, 3, 0, 2, 4, 2, 3, 1, 3, 3], [1], [], [1, 1, 0, 1, 2, 0, 0], [3, 5, 1]]",1.0478612722829197,"[1, 3, 1, 0, 2, 2]",5,x[3]-x[5],x[3]-x[5],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
95,"[[0], [1, 3, 3], [1], [0, 3], [1, 1], [3, 5, 1]]",1.0478612722829197,"[1, 3, 1, 0, 2, 2]",5,(x[3]-x[5]),(x[3]-x[5]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
